cntry,asn,Frequency
BR,28651.0,5
BR,28652,944
BR,28652.0,50
BR,28653,381
BR,28653.0,26
BR,28654,453
BR,28654.0,9
BR,28656,31
BR,28656.0,8
BR,28657,747
BR,28657.0,19
BR,28658,479
BR,28658.0,20
BR,28661,983
BR,28661.0,26
BR,28665,1490
BR,28665.0,35
BR,28666,13
BR,28667,66
BR,28668,1591
BR,28668.0,50
BR,28669,7
BR,28670,118
BR,28670.0,3
BR,3549,3212
BR,3549.0,117
BR,4.515,295
BR,4.516,28
BR,4.518,1422
BR,4.519,334
BR,4.52,1355
BR,4.521,55
BR,4.523,3
BR,4.524,1448
BR,4.525,3774
BR,4.526,115
BR,4.527,164
BR,4.529,1011
BR,4.532,341
BR,4.533,83
BR,4.534,2
BR,4.536,236
BR,4.5360000000000005,5
BR,4.537,196
BR,4.538,154
BR,4.539,872
BR,4.54,36
BR,4.541,652
BR,4.543,2300
BR,4.544,352
BR,4.545,148
BR,4.546,20
BR,4.547,5
BR,4.548,2
BR,4.55,13
BR,4.552,65
BR,4.555,708
BR,4.556,16
BR,4.56,635
BR,4.564,60
BR,4.565,6243
BR,4.566,48
BR,4.567,437
BR,4.571,2
BR,4.572,51
BR,4.573,476
BR,4.577,25
BR,4.578,96
BR,4.579,25
BR,4.581,853
BR,4.582,97
BR,4.583,440
BR,4.584,549
BR,4.585,29
BR,4.586,27
BR,4.587,54
BR,4.589,2
BR,4.591,317
BR,4.593,96
BR,4.593999999999999,21
BR,4.594,303
BR,4.596,820
BR,4.5969999999999995,3
BR,4.597,3
BR,4.6,50
BR,4.602,61
BR,4.604,900
BR,4.606,1419
BR,4.607,402
BR,4.612,384
BR,4.613,26
BR,4.614,94
BR,4.617,188
BR,4.62,102
BR,4.621,24
BR,4.622,5
BR,4.629,1255
BR,4.631,152
BR,4.635,24
BR,4.64,393
BR,4.641,451
BR,4.645,41
BR,4.648,53
BR,4.654,5
BR,4.657,86
BR,4.658,16
BR,4.659,13
BR,4.661,17
BR,4.6610000000000005,2
BR,4.662,58
BR,4.665,35
BR,4.666,29
BR,4.668,8
BR,4.671,217
BR,4.673,54
BR,4.6739999999999995,6
BR,4.674,155
BR,4.675,10
BR,4.677,51
BR,4.687,67
BR,4.688,34
BR,4.703,4
BR,4.707,37
BR,4.711,233
BR,4.718,27
BR,4.7219999999999995,1
BR,4.722,18
BR,4.73,135
BR,4.733,64
BR,4.7330000000000005,1
BR,4230,121879
BR,4230.0,3932
BR,52952,27
BR,52952.0,1
BR,53050,202
BR,53050.0,5
BR,53051,62
BR,53051.0,2
BR,53052,14
BR,53052.0,1
BR,53054,11
BR,53056,155
BR,53058,30
BR,53058.0,4
BR,53059,48
BR,53059.0,1
BR,53061,68
BR,53061.0,3
BR,53062,80
BR,53062.0,4
BR,53065,382
BR,53065.0,10
BR,53066,189
BR,53066.0,3
BR,53071,2
BR,53072,43
BR,53075,663
BR,53075.0,32
BR,53080,22
BR,53081,204
BR,53081.0,2
BR,53082,50
BR,53084,3
BR,53084.0,1
BR,53085,120
BR,53085.0,1
BR,53086,19
BR,53087,3081
BR,53087.0,145
BR,53088,456
BR,53088.0,11
BR,53089,1
BR,53090,69
