Timestamp,Id,asn,src_port
1/31/2011 21:16,0.0.3.34,18881,2026
1/31/2011 21:16,0.0.3.46,7738,60021
1/31/2011 21:16,0.0.3.55,27699,4746
1/31/2011 21:16,0.0.3.59,27699,61417
1/31/2011 21:16,0.0.3.64,7738,14246
1/31/2011 21:16,0.0.3.66,28573,4746
1/31/2011 21:16,0.0.3.71,53088,59877
1/31/2011 21:16,0.0.3.73,27699,64361
1/31/2011 21:16,0.0.3.80,10429,1124
1/31/2011 21:16,0.0.3.81,27699,4923
1/31/2011 21:16,0.0.3.111,8167,4765
1/31/2011 21:16,0.0.3.120,4230,3842
1/31/2011 21:16,0.0.3.126,22085,2177
1/31/2011 21:16,0.0.3.128,7738,2816
1/31/2011 21:16,0.0.3.130,27699,4709
1/31/2011 21:16,0.0.3.138,7738,1460
1/31/2011 21:17,0.0.3.147,7738,2241
1/31/2011 21:17,0.0.3.152,18881,48665
1/31/2011 21:17,0.0.2.137,7738,60660
1/31/2011 21:17,0.0.3.156,28573,63591
1/31/2011 21:17,0.0.3.163,7738,61904
1/31/2011 21:17,0.0.3.166,28573,4492
1/31/2011 21:17,0.0.3.171,8167,1644
1/31/2011 21:17,0.0.3.183,28268,2040
1/31/2011 21:17,0.0.3.195,8167,15875
1/31/2011 21:17,0.0.3.198,7738,2905
1/31/2011 21:17,0.0.3.208,28573,4648
1/31/2011 21:17,0.0.3.210,7738,1333
1/31/2011 21:17,0.0.3.222,28573,3888
1/31/2011 21:17,0.0.3.227,7738,11164
1/31/2011 21:17,0.0.3.230,8167,61190
1/31/2011 21:17,0.0.3.232,8167,61659
1/31/2011 21:17,0.0.3.246,7738,3322
1/31/2011 21:17,0.0.3.252,22085,2766
1/31/2011 21:17,0.0.4.4,28573,65361
1/31/2011 21:17,0.0.4.14,16735,3553
1/31/2011 21:17,0.0.3.130,27699,1257
1/31/2011 21:17,0.0.4.19,18881,3976
1/31/2011 21:17,0.0.4.25,27699,65279
1/31/2011 21:17,0.0.4.26,18881,3815
1/31/2011 21:17,0.0.4.27,18881,17230
1/31/2011 21:17,0.0.4.29,28573,62802
1/31/2011 21:17,0.0.4.30,28276,6722
1/31/2011 21:17,0.0.4.33,4230,2882
1/31/2011 21:17,0.0.4.36,18881,2395
1/31/2011 21:17,0.0.4.54,7738,58061
1/31/2011 21:17,0.0.4.56,28135,2510
1/31/2011 21:17,0.0.4.60,27699,1742
1/31/2011 21:17,0.0.4.64,26599,4808
1/31/2011 21:17,0.0.4.69,53163,1149
1/31/2011 21:17,0.0.4.73,27699,4483
1/31/2011 21:17,0.0.4.75,18881,14756
1/31/2011 21:17,0.0.4.82,27699,52316
1/31/2011 21:17,0.0.4.97,8167,3772
1/31/2011 21:17,0.0.4.98,7738,2650
1/31/2011 21:17,0.0.4.99,7738,1609
1/31/2011 21:17,0.0.4.102,28613,2061
1/31/2011 21:17,0.0.4.116,7738,3614
1/31/2011 21:17,0.0.4.129,7738,40232
1/31/2011 21:17,0.0.4.136,7738,25786
1/31/2011 21:17,0.0.4.137,8167,3984
1/31/2011 21:17,0.0.4.138,8167,4588
1/31/2011 21:17,0.0.4.147,28573,61423
1/31/2011 21:17,0.0.4.149,18881,2036
1/31/2011 21:17,0.0.4.152,28174,63923
1/31/2011 21:17,0.0.4.157,7738,3322
1/31/2011 21:17,0.0.4.161,28573,4400
1/31/2011 21:17,0.0.4.164,8167,2126
1/31/2011 21:17,0.0.4.165,27699,4150
1/31/2011 21:17,0.0.4.168,7738,4457
1/31/2011 21:17,0.0.4.175,7738,3097
1/31/2011 21:18,0.0.4.184,7738,1813
1/31/2011 21:18,0.0.4.193,8167,50483
1/31/2011 21:18,0.0.4.195,4.56,1612
1/31/2011 21:18,0.0.4.196,28573,4158
1/31/2011 21:18,0.0.4.198,7738,46093
1/31/2011 21:18,0.0.4.206,8167,1304
1/31/2011 21:18,0.0.4.210,16735,1100
1/31/2011 21:18,0.0.4.230,7738,2667
1/31/2011 21:18,0.0.4.239,28260,3126
1/31/2011 21:18,0.0.4.244,28258,63726
1/31/2011 21:18,0.0.4.245,22085,2804
1/31/2011 21:18,0.0.4.248,7738,25728
1/31/2011 21:18,0.0.4.250,7738,3719
1/31/2011 21:18,0.0.5.1,28650,2292
1/31/2011 21:18,0.0.5.6,27724,49902
1/31/2011 21:18,0.0.5.11,27699,3613
1/31/2011 21:18,0.0.5.12,3549,50706
