Source,Target,Type
0.0.0.246,1.109.0.0,Directed
0.0.0.246,1.109.0.0,Directed
0.0.0.247,1.51.0.0,Directed
0.0.0.247,1.51.0.0,Directed
0.0.0.248,1.79.0.0,Directed
0.0.0.248,1.79.0.0,Directed
0.0.0.249,1.89.0.0,Directed
0.0.0.249,1.89.0.0,Directed
0.0.0.25,1.33.0.0,Directed
0.0.0.25,1.33.0.0,Directed
0.0.0.250,1.99.0.0,Directed
0.0.0.250,1.99.0.0,Directed
0.0.0.251,1.61.0.0,Directed
0.0.0.251,1.61.0.0,Directed
0.0.0.252,1.23.0.0,Directed
0.0.0.252,1.23.0.0,Directed
0.0.0.253,1.43.0.0,Directed
0.0.0.253,1.43.0.0,Directed
0.0.0.254,1.81.0.0,Directed
0.0.0.254,1.81.0.0,Directed
0.0.0.255,1.101.0.0,Directed
0.0.0.255,1.101.0.0,Directed
0.0.0.26,1.23.0.0,Directed
0.0.0.26,1.191.0.0,Directed
0.0.0.26,1.23.0.0,Directed
0.0.0.26,1.191.0.0,Directed
0.0.0.27,1.11.0.0,Directed
0.0.0.27,1.11.0.0,Directed
0.0.0.28,1.27.0.0,Directed
0.0.0.28,1.27.0.0,Directed
0.0.0.29,1.31.0.0,Directed
0.0.0.29,1.31.0.0,Directed
0.0.0.3,1.9.0.0,Directed
0.0.0.3,1.9.0.0,Directed
0.0.0.30,1.35.0.0,Directed
0.0.0.30,1.35.0.0,Directed
0.0.0.31,1.13.0.0,Directed
0.0.0.31,1.13.0.0,Directed
0.0.0.32,1.25.0.0,Directed
0.0.0.32,1.25.0.0,Directed
0.0.0.33,1.9.0.0,Directed
0.0.0.33,1.9.0.0,Directed
0.0.0.34,1.25.0.0,Directed
0.0.0.34,1.25.0.0,Directed
0.0.0.35,1.5.0.0,Directed
0.0.0.35,1.5.0.0,Directed
0.0.0.36,1.27.0.0,Directed
0.0.0.36,1.27.0.0,Directed
0.0.0.37,1.31.0.0,Directed
0.0.0.37,1.31.0.0,Directed
0.0.0.38,1.37.0.0,Directed
0.0.0.38,1.37.0.0,Directed
0.0.0.39,1.39.0.0,Directed
0.0.0.39,1.39.0.0,Directed
0.0.0.4,1.7.0.0,Directed
0.0.0.4,1.7.0.0,Directed
